xb,yb
-635500,-1210500
-631500,-1216500
-626500,-1227500
-625500,-1263500
-624500,-1270500
-621500,-1286500
-620500,-1291500
-627500,-1335500
-626500,-1338500
-615500,-1354500
-614500,-1356500
-611500,-1360500
-602500,-1389500
-595500,-1395500
-588500,-1400500
-580500,-1406500
-575500,-1410500
-571500,-1414500
-567500,-1419500
-566500,-1420500
-562500,-1422500
-523500,-1436500
-492500,-1431500
-452500,-1449500
-442500,-1450500
-419500,-1458500
-395500,-1498500
-374500,-1549500
-366500,-1581500
-370500,-1604500
-365500,-1625500
-364500,-1649500
-368500,-1693500
-367500,-1743500
-366500,-1747500
-362500,-1756500
-360500,-1785500
-358500,-1799500
-365500,-1825500
-363500,-1850500
-364500,-1856500
-365500,-1861500
-371500,-1914500
-369500,-1920500
-376500,-1963500
-370500,-1980500
-368500,-1988500
-365500,-1993500
-362500,-1997500
-358500,-2001500
-348500,-2077500
-372500,-2103500
-371500,-2106500
-369500,-2133500
-370500,-2142500
-374500,-2163500
-377500,-2170500
-382500,-2185500
-383500,-2190500
-380500,-2194500
-376500,-2201500
-361500,-2228500
-359500,-2231500
-345500,-2245500
-334500,-2275500
-347500,-2325500
-353500,-2348500
-360500,-2362500
-370500,-2386500
-371500,-2389500
-372500,-2400500
-372500,-2421500
-374500,-2432500
-382500,-2456500
-384500,-2468500
-390500,-2482500
-387500,-2497500
-381500,-2513500
-386500,-2551500
-390500,-2564500
-391500,-2571500
-392500,-2591500
-393500,-2595500
-394500,-2600500
-390500,-2614500
-384500,-2656500
-377500,-2672500
-373500,-2677500
-360500,-2698500
-356500,-2722500
-355500,-2731500
-348500,-2773500
-350500,-2790500
-351500,-2804500
-350500,-2811500
-351500,-2827500
-344500,-2847500
-336500,-2869500
-329500,-2887500
-324500,-2909500
-317500,-2936500
-310500,-2956500
-284500,-2997500
-278500,-3015500
-277500,-3022500
-273500,-3032500
-267500,-3041500
-264500,-3047500
-259500,-3060500
-252500,-3076500
-249500,-3093500
-251500,-3109500
-250500,-3110500
-243500,-3119500
-233500,-3135500
-222500,-3153500
-217500,-3169500
-216500,-3171500
-215500,-3172500
-201500,-3193500
-181500,-3228500
-177500,-3233500
-175500,-3234500
-173500,-3235500
-166500,-3239500
-150500,-3236500
-107500,-3241500
-94500,-3245500
-56500,-3262500
-49500,-3271500
-45500,-3275500
-23500,-3302500
-14500,-3322500
-6500,-3328500
1500,-3336500
38500,-3342500
51500,-3345500
53500,-3345500
64500,-3345500
82500,-3343500
85500,-3341500
95500,-3332500
103500,-3326500
107500,-3322500
108500,-3320500
112500,-3303500
122500,-3254500
126500,-3241500
130500,-3217500
129500,-3200500
131500,-3182500
142500,-3159500
152500,-3131500
156500,-3114500
155500,-3090500
156500,-3059500
151500,-3031500
161500,-3005500
178500,-2987500
184500,-2976500
189500,-2966500
193500,-2956500
198500,-2947500
204500,-2939500
210500,-2924500
214500,-2913500
219500,-2897500
221500,-2892500
224500,-2885500
220500,-2867500
221500,-2846500
234500,-2818500
235500,-2815500
236500,-2800500
250500,-2738500
255500,-2719500
263500,-2706500
290500,-2677500
295500,-2675500
332500,-2661500
341500,-2662500
365500,-2665500
373500,-2663500
382500,-2652500
403500,-2633500
409500,-2630500
423500,-2602500
428500,-2597500
448500,-2568500
459500,-2560500
463500,-2554500
464500,-2550500
481500,-2524500
488500,-2503500
492500,-2497500
497500,-2474500
501500,-2462500
503500,-2448500
504500,-2434500
503500,-2429500
514500,-2389500
525500,-2375500
539500,-2366500
577500,-2333500
593500,-2326500
602500,-2323500
614500,-2317500
626500,-2307500
637500,-2296500
647500,-2290500
658500,-2279500
678500,-2262500
685500,-2256500
701500,-2247500
707500,-2240500
708500,-2239500
718500,-2229500
720500,-2227500
721500,-2226500
741500,-2213500
742500,-2211500
757500,-2188500
763500,-2183500
764500,-2182500
775500,-2160500
780500,-2150500
790500,-2129500
794500,-2116500
802500,-2102500
809500,-2089500
811500,-2085500
814500,-2080500
821500,-2069500
823500,-2063500
828500,-2051500
831500,-2036500
842500,-2018500
843500,-2015500
846500,-2005500
844500,-2000500
848500,-1958500
849500,-1956500
844500,-1944500
839500,-1938500
829500,-1918500
826500,-1912500
814500,-1891500
811500,-1884500
804500,-1865500
798500,-1851500
778500,-1842500
755500,-1798500
753500,-1784500
751500,-1768500
750500,-1765500
749500,-1762500
731500,-1716500
740500,-1686500
741500,-1684500
748500,-1637500
741500,-1591500
742500,-1538500
741500,-1526500
743500,-1507500
749500,-1494500
754500,-1457500
755500,-1454500
755500,-1442500
