xb,yb
-625925,-1265675
-625925,-1267175
-625925,-1268675
-625925,-1270175
-624425,-1276175
-622925,-1285175
-621425,-1291175
-619925,-1294175
-616925,-1346675
-616925,-1348175
-613925,-1355675
-606425,-1378175
-603425,-1388675
-595925,-1394675
-594425,-1396175
-589925,-1399175
-583925,-1403675
-576425,-1409675
-574925,-1411175
-573425,-1412675
-571925,-1414175
-570425,-1415675
-568925,-1417175
-561425,-1427675
-559925,-1427675
-532925,-1424675
-531425,-1424675
-529925,-1424675
-528425,-1424675
-507425,-1421675
-490925,-1426175
-489425,-1426175
-487925,-1426175
-484925,-1426175
-481925,-1426175
-456425,-1430675
-438425,-1442675
-418925,-1460675
-393425,-1493675
-391925,-1495175
-375425,-1547675
-375425,-1549175
-375425,-1550675
-375425,-1552175
-361925,-1583675
-361925,-1586675
-361925,-1588175
-360425,-1591175
-349925,-1606175
-337925,-1636175
-345425,-1660175
-361925,-1687175
-366425,-1690175
-367925,-1691675
-367925,-1693175
-360425,-1727675
-360425,-1729175
-360425,-1730675
-339425,-1766675
-351425,-1814675
-349925,-1820675
-360425,-1865675
-361925,-1868675
-358925,-1909175
-358925,-1910675
-358925,-1912175
-360425,-1930175
-360425,-1931675
-372425,-1960175
-373925,-1961675
-375425,-1963175
-375425,-1964675
-370925,-1975175
-369425,-1985675
-367925,-1993175
-364925,-1997675
-361925,-1999175
-358925,-2000675
-346925,-2006675
-345425,-2075675
-349925,-2078675
-351425,-2083175
-351425,-2084675
-346925,-2092175
-340925,-2105675
-339425,-2108675
-336425,-2114675
-331925,-2119175
-325925,-2120675
-316925,-2123675
-309425,-2126675
-301925,-2131175
-285425,-2150675
-280925,-2158175
-279425,-2161175
-277925,-2162675
-276425,-2164175
-273425,-2165675
-267425,-2168675
-264425,-2170175
-249425,-2176175
-226925,-2216675
-229925,-2231675
-235925,-2248175
-243425,-2263175
-246425,-2281175
-304925,-2309675
-321425,-2308175
-322925,-2309675
-328925,-2317175
-330425,-2320175
-351425,-2347175
-352925,-2348675
-360425,-2380175
-363425,-2387675
-369425,-2405675
-372425,-2410175
-372425,-2411675
-372425,-2413175
-372425,-2414675
-372425,-2416175
-373925,-2429675
-379925,-2450675
-382925,-2456675
-384425,-2465675
-385925,-2470175
-390425,-2483675
-390425,-2485175
-387425,-2497175
-385925,-2501675
-379925,-2527175
-390425,-2554175
-390425,-2555675
-390425,-2557175
-390425,-2558675
-391925,-2569175
-391925,-2570675
-394925,-2591675
-394925,-2593175
-394925,-2594675
-394925,-2597675
-394925,-2599175
-394925,-2600675
-394925,-2602175
-394925,-2603675
-390425,-2615675
-388925,-2624675
-384425,-2639675
-381425,-2647175
-363425,-2669675
-360425,-2698175
-355925,-2705675
-346925,-2738675
-346925,-2740175
-346925,-2741675
-346925,-2749175
-346925,-2750675
-348425,-2765675
-348425,-2768675
-348425,-2771675
-351425,-2786675
-351425,-2788175
-351425,-2789675
-351425,-2801675
-352925,-2812175
-352925,-2813675
-352925,-2816675
-351425,-2827175
-351425,-2828675
-349925,-2830175
-330425,-2875175
-330425,-2876675
-330425,-2878175
-330425,-2882675
-330425,-2887175
-328925,-2893175
-327425,-2899175
-325925,-2908175
-318425,-2926175
-312425,-2939675
-310925,-2950175
-303425,-2957675
-295925,-2966675
-289925,-2977175
-285425,-2996675
-283925,-3001175
-277925,-3022175
-277925,-3023675
-273425,-3035675
-271925,-3038675
-267425,-3044675
-261425,-3056675
-255425,-3082175
-250925,-3094175
-243425,-3116675
-234425,-3134675
-223925,-3154175
-204425,-3172175
-199925,-3176675
-189425,-3203675
-181925,-3227675
-180425,-3232175
-174425,-3238175
-172925,-3239675
-163925,-3241175
-150425,-3236675
-135425,-3233675
-133925,-3233675
-132425,-3233675
-129425,-3233675
-106925,-3241175
-105425,-3241175
-81425,-3245675
-54425,-3259175
-49925,-3265175
-16925,-3305675
-16925,-3307175
-16925,-3308675
-6425,-3316175
4075,-3320675
11575,-3323675
22075,-3329675
25075,-3331175
26575,-3331175
68575,-3326675
71575,-3328175
82075,-3332675
86575,-3334175
95575,-3332675
98575,-3331175
101575,-3329675
103075,-3328175
104575,-3326675
109075,-3320675
112075,-3310175
113575,-3302675
110575,-3292175
122575,-3254675
127075,-3242675
127075,-3241175
133075,-3218675
131575,-3194675
131575,-3182675
143575,-3158675
143575,-3157175
146575,-3131675
149575,-3125675
155575,-3115175
157075,-3110675
157075,-3109175
157075,-3104675
155575,-3089675
155575,-3088175
151075,-3046175
152575,-3040175
164575,-3005675
178075,-2989175
179575,-2987675
184075,-2978675
196075,-2959175
200575,-2948675
211075,-2926175
215575,-2912675
221575,-2897675
226075,-2890175
226075,-2888675
224575,-2884175
221575,-2875175
220075,-2867675
221575,-2846675
235075,-2818175
235075,-2816675
235075,-2815175
236575,-2800175
233575,-2795675
247075,-2731175
248575,-2729675
250075,-2728175
287575,-2678675
290575,-2677175
295075,-2674175
308575,-2665175
337075,-2663675
340075,-2663675
367075,-2665175
373075,-2663675
377575,-2659175
379075,-2657675
388075,-2633675
410575,-2612675
418075,-2608175
428575,-2587175
445075,-2570675
448075,-2569175
454075,-2564675
458575,-2560175
460075,-2558675
464575,-2552675
470575,-2537675
478075,-2527175
479575,-2524175
481075,-2518175
488575,-2503175
491575,-2474675
500575,-2462675
502075,-2452175
502075,-2450675
502075,-2449175
503575,-2434175
503575,-2432675
512575,-2390675
514075,-2389175
518575,-2383175
539575,-2366675
577075,-2333675
581575,-2332175
584575,-2330675
595075,-2326175
602575,-2324675
614575,-2317175
617575,-2314175
637075,-2299175
640075,-2297675
647575,-2290175
650575,-2287175
659575,-2279675
667075,-2272175
679075,-2261675
688075,-2255675
698575,-2249675
703075,-2248175
715075,-2236175
721075,-2228675
740575,-2213675
742075,-2212175
743575,-2210675
752575,-2195675
763075,-2183675
764575,-2180675
775075,-2161175
779575,-2152175
790075,-2129675
803575,-2105675
812575,-2087675
814075,-2083175
824575,-2066675
830575,-2051675
830575,-2050175
830575,-2048675
842575,-2020175
844075,-2015675
847075,-2008175
847075,-2005175
847075,-2002175
847075,-2000675
847075,-1963175
848575,-1958675
848575,-1957175
848575,-1955675
848575,-1954175
848575,-1952675
848575,-1951175
838075,-1933175
826075,-1910675
814075,-1888175
808075,-1873175
803575,-1865675
797575,-1855175
781075,-1835675
754075,-1825175
745075,-1823675
730075,-1817675
724075,-1816175
706075,-1808675
700075,-1807175
683575,-1804175
661075,-1786175
655075,-1772675
634075,-1742675
677575,-1684175
680575,-1684175
682075,-1684175
683575,-1684175
685075,-1684175
686575,-1684175
697075,-1685675
698575,-1685675
700075,-1685675
701575,-1685675
703075,-1685675
704575,-1685675
707575,-1684175
713575,-1669175
719575,-1661675
737575,-1646675
745075,-1643675
746575,-1642175
748075,-1640675
748075,-1639175
748075,-1637675
748075,-1636175
748075,-1634675
740575,-1622675
737575,-1604675
737575,-1603175
737575,-1601675
736075,-1598675
739075,-1549175
740575,-1546175
742075,-1538675
742075,-1537175
742075,-1535675
742075,-1534175
742075,-1532675
742075,-1528175
742075,-1526675
740575,-1519175
725575,-1507175
722575,-1505675
703075,-1492175
694075,-1462175
694075,-1460675
694075,-1459175
694075,-1457675
694075,-1456175
694075,-1454675
694075,-1453175
694075,-1451675
694075,-1450175
692575,-1444175
691075,-1439675
689575,-1436675
688075,-1433675
686575,-1430675
685075,-1427675
683575,-1424675
682075,-1421675
680575,-1420175
679075,-1418675
668575,-1400675
662575,-1396175
646075,-1370675
644575,-1367675
643075,-1364675
641575,-1363175
635575,-1355675
641575,-1292675
644575,-1288175
644575,-1280675
643075,-1274675
641575,-1270175
640075,-1267175
638575,-1264175
637075,-1261175
635575,-1258175
634075,-1255175
631075,-1249175
628075,-1244675
625075,-1240175
595075,-1214675
593575,-1213175
592075,-1211675
590575,-1210175
589075,-1208675
587575,-1207175
586075,-1205675
583075,-1204175
580075,-1202675
565075,-1204175
542575,-1195175
518575,-1177175
512575,-1160675
511075,-1156175
509575,-1148675
508075,-1138175
508075,-1136675
506575,-1133675
500575,-1111175
512575,-1069175
515575,-1061675
515575,-1060175
511075,-1051175
508075,-1049675
494575,-1040675
460075,-1009175
457075,-994175
457075,-992675
457075,-991175
484075,-952175
497575,-944675
500575,-943175
502075,-941675
503575,-940175
505075,-938675
506575,-935675
508075,-932675
508075,-931175
508075,-929675
508075,-928175
508075,-923675
509575,-913175
509575,-911675
509575,-910175
509575,-908675
509575,-866675
512575,-862175
512575,-859175
512575,-857675
512575,-833675
514075,-827675
514075,-824675
515575,-814175
515575,-812675
517075,-799175
518575,-793175
518575,-791675
518575,-790175
518575,-788675
518575,-787175
518575,-785675
518575,-784175
517075,-782675
511075,-776675
508075,-773675
506575,-772175
505075,-770675
502075,-769175
499075,-767675
493075,-766175
491575,-766175
475075,-764675
473575,-764675
472075,-764675
470575,-764675
469075,-764675
467575,-764675
466075,-764675
443575,-772175
440575,-779675
439075,-784175
431575,-800675
386575,-815675
355075,-799175
349075,-791675
347575,-790175
335575,-757175
338575,-742175
340075,-737675
341575,-733175
341575,-731675
341575,-730175
341575,-728675
341575,-727175
340075,-725675
338575,-724175
334075,-721175
331075,-719675
325075,-716675
322075,-715175
316075,-712175
314575,-712175
313075,-712175
311575,-712175
299575,-710675
287575,-707675
260575,-691175
256075,-686675
239575,-674675
236575,-673175
233575,-671675
229075,-670175
223075,-668675
217075,-667175
215575,-667175
214075,-667175
212575,-667175
211075,-667175
209575,-667175
208075,-667175
206575,-667175
205075,-667175
200575,-668675
190075,-670175
188575,-670175
187075,-670175
173575,-668675
172075,-668675
170575,-668675
169075,-668675
167575,-668675
166075,-668675
164575,-668675
143575,-674675
142075,-674675
140575,-674675
139075,-674675
137575,-674675
131575,-676175
128575,-677675
113575,-682175
104575,-685175
101575,-686675
98575,-688175
89575,-692675
76075,-697175
65575,-709175
23575,-733175
22075,-733175
13075,-734675
8575,-736175
1075,-740675
-12425,-748175
-15425,-749675
-28925,-758675
-31925,-763175
-34925,-767675
-34925,-769175
-82925,-814175
-90425,-812675
-91925,-812675
-93425,-812675
-94925,-812675
-96425,-814175
-147425,-818675
-148925,-818675
-150425,-818675
-156425,-820175
-160925,-821675
-165425,-823175
-172925,-824675
-181925,-826175
-186425,-827675
-196925,-829175
-198425,-829175
-199925,-829175
-201425,-829175
-202925,-829175
-204425,-829175
-211925,-830675
-216425,-832175
-219425,-833675
-222425,-835175
-225425,-836675
-228425,-838175
-241925,-845675
-249425,-848675
-252425,-850175
-255425,-851675
-256925,-853175
-258425,-854675
-259925,-856175
-261425,-859175
-261425,-860675
-261425,-862175
-261425,-863675
-261425,-865175
-261425,-866675
-301925,-907175
-303425,-907175
-304925,-907175
-315425,-911675
-330425,-920675
-334925,-922175
-340925,-929675
-357425,-943175
-364925,-946175
-379925,-953675
-381425,-955175
-399425,-968675
-400925,-970175
-403925,-977675
-406925,-985175
-403925,-1000175
-388925,-1012175
-375425,-1043675
-388925,-1075175
-390425,-1076675
-391925,-1078175
-405425,-1088675
-442925,-1093175
-447425,-1091675
-468425,-1091675
-469925,-1091675
-471425,-1091675
-472925,-1091675
-474425,-1091675
-475925,-1091675
-480425,-1093175
-486425,-1094675
-489425,-1096175
-514925,-1105175
-529925,-1108175
-531425,-1108175
-544925,-1108175
-546425,-1108175
-547925,-1108175
-549425,-1108175
-550925,-1108175
-552425,-1108175
-553925,-1108175
-567425,-1108175
-568925,-1108175
-570425,-1108175
-571925,-1108175
-573425,-1108175
-574925,-1108175
-579425,-1112675
-589925,-1120175
-591425,-1121675
-603425,-1135175
-603425,-1136675
-600425,-1150175
-598925,-1165175
-598925,-1166675
-595925,-1172675
-589925,-1189175
-588425,-1192175
-607925,-1253675
-616925,-1256675
-622925,-1261175
-624425,-1262675
-625925,-1265675
